time(s),filename,numbytes,info
7.1,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,0,start
7.3,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,0,start
7.4,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 1
7.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 3
7.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 2
7.6,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 3
7.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 4
7.7,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 1
8.0,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 5
8.0,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 4
8.0,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 6
8.1,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 6
8.2,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 5
8.3,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 7
8.3,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 9
8.3,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 8
8.4,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 9
8.4,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 7
8.6,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 8
8.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 12
8.7,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 11
8.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 12
8.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 10
8.8,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 10
9.1,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 13
9.1,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 15
9.1,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 15
9.1,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 11
9.2,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 14
9.3,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 14
9.4,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 13
9.4,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 17
9.5,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 16
9.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 16
9.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 18
9.6,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 17
9.8,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 20
9.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 18
9.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 19
9.9,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 19
10.1,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 20
10.4,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 24
10.4,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 21
10.5,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 24
10.5,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 22
10.5,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 22
10.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 23
10.6,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 23
10.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 21
10.9,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 27
11.0,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 25
11.0,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 25
11.1,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 26
11.2,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 28
11.3,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 28
11.4,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 26
11.5,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 27
11.5,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 31
11.6,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 30
11.6,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 29
11.7,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 32
11.8,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 30
11.9,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 32
11.9,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,16777216,part 31
11.9,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,16777216,part 29
11.9,DSP-Demo-A-A03_S3_L001_R2_001.fastq.gz,11043343,part 33
12.0,DSP-Demo-A-A03_S3_L001_R1_001.fastq.gz,11715767,part 33
